"ticker","weight","dollar_amount","current_price","shares","actual_invested","remaining"
"AHR",0.120821717540994,1208.21717540994,48.0099983215332,25,1200.24995803833,7.96721737161147
"GEV",0.0115498271808928,115.498271808928,681.549987792969,0,0,115.498271808928
"FIX",0.025477597274499,254.77597274499,1119.97998046875,0,0,254.77597274499
"CLS",0.0801994461090809,801.994461090809,313.600006103516,2,627.200012207031,174.794448883777
"DBD",0.0981795007994764,981.795007994764,69.9100036621094,14,978.740051269531,3.05495672523318
"BBVA",0.169862910448988,1698.62910448988,24.3799991607666,69,1682.2199420929,16.4091623969832
"TFPM",0.165723961608295,1657.23961608295,36.9900016784668,44,1627.56007385254,29.6795422304135
"AGX",0.0143567412996138,143.567412996138,383.660003662109,0,0,143.567412996138
"POWL",0.0117111416746845,117.111416746845,419.980010986328,0,0,117.111416746845
"LQDA",0.058688104211743,586.88104211743,37.9300003051758,15,568.950004577637,17.9310375397938
"IDR",0.135556713828138,1355.56713828139,44.3600006103516,30,1330.80001831055,24.7671199708382
"MAMA",0.107872338023594,1078.72338023594,14.3400001525879,75,1075.50001144409,3.2233687918465
