"ticker","sector","sharpe_ratio","current_price"
"BELFB","Unknown",1.22423804940671,200.110000610352
"WELL","Real Estate",1.18134529787829,191.380004882812
"IMO","Energy",1.16733923808938,97.9800033569336
"LAUR","Real Estate",1.13695025699851,34.5900001525879
"TTMI","Technology",1.11465833775854,101.01000213623
"STX","Technology",1.08807460256605,326.230010986328
"SAN","Finance",1.07469641324266,12.2299995422363
"SII","Finance",1.03777138138469,116.879997253418
"VSEC","Consumer Discretionary",1.01293954720978,214.179992675781
"WDC","Technology",0.987724143515767,221.509994506836
